Time,2R Gastroc Muscle,2R Distal Tibia,2R Tibial Tubercle,2R Fibular Head,2L Gastroc Muscle,2L Distal Tibia,2L Tibial Tubercle,2L Fibular Head,Class,Time (min),Activity
0,32.33,31.72,29.63,30.45,31.2,31.44,30.52,31.34,sit rest bare limb,0-300,sit rest bare limb
1,32.33,31.72,29.63,30.45,31.2,31.44,30.52,31.35,sit rest bare limb,301-675,don px components 
2,32.33,31.72,29.64,30.45,31.2,31.45,30.52,31.36,sit rest bare limb,676-1275,sit rest with px simulator donned (1)
3,32.33,31.72,29.64,30.45,31.21,31.44,30.52,31.35,sit rest bare limb,1276-3076,walk on treadmill (1)
4,32.33,31.73,29.64,30.45,31.2,31.44,30.51,31.35,sit rest bare limb,3077-3677,sit rest with px simulator donned (2)
5,32.32,31.73,29.64,30.45,31.2,31.45,30.51,31.34,sit rest bare limb,3678-5478,walk on treadmill (2)
6,32.32,31.72,29.64,30.45,31.19,31.45,30.52,31.35,sit rest bare limb,5479-7279,sit rest with px simulator donned (3)
7,32.33,31.73,29.64,30.47,31.2,31.46,30.53,31.36,sit rest bare limb,7280-7399,doff px components
8,32.32,31.72,29.64,30.46,31.19,31.45,30.54,31.36,sit rest bare limb,7400-8973,sit rest with px simulator doffed
9,32.33,31.72,29.64,30.45,31.19,31.45,30.54,31.36,sit rest bare limb,,
10,32.33,31.72,29.64,30.46,31.19,31.45,30.55,31.36,sit rest bare limb,,
11,32.33,31.72,29.64,30.46,31.19,31.45,30.55,31.36,sit rest bare limb,,
12,32.33,31.72,29.63,30.46,31.18,31.45,30.54,31.37,sit rest bare limb,,
13,32.33,31.72,29.63,30.45,31.17,31.45,30.54,31.36,sit rest bare limb,,
14,32.33,31.72,29.63,30.45,31.17,31.45,30.54,31.37,sit rest bare limb,,
15,32.34,31.72,29.63,30.45,31.16,31.45,30.53,31.37,sit rest bare limb,,
16,32.33,31.71,29.63,30.45,31.17,31.45,30.54,31.37,sit rest bare limb,,
17,32.32,31.72,29.64,30.46,31.18,31.45,30.53,31.38,sit rest bare limb,,
18,32.34,31.74,29.65,30.47,31.19,31.46,30.54,31.38,sit rest bare limb,,
19,32.33,31.73,29.65,30.46,31.18,31.46,30.55,31.38,sit rest bare limb,,
20,32.32,31.73,29.65,30.45,31.18,31.46,30.54,31.37,sit rest bare limb,,
21,32.32,31.72,29.65,30.45,31.18,31.47,30.54,31.38,sit rest bare limb,,
22,32.32,31.72,29.65,30.46,31.17,31.46,30.53,31.38,sit rest bare limb,,
23,32.32,31.72,29.65,30.46,31.16,31.47,30.52,31.38,sit rest bare limb,,
24,32.32,31.72,29.65,30.45,31.16,31.47,30.51,31.38,sit rest bare limb,,
25,32.32,31.72,29.64,30.45,31.16,31.47,30.52,31.39,sit rest bare limb,,
26,32.32,31.72,29.65,30.46,31.16,31.48,30.52,31.4,sit rest bare limb,,
27,32.33,31.75,29.66,30.47,31.17,31.5,30.52,31.39,sit rest bare limb,,
28,32.33,31.74,29.66,30.47,31.17,31.49,30.52,31.39,sit rest bare limb,,
29,32.33,31.74,29.65,30.46,31.17,31.49,30.52,31.39,sit rest bare limb,,
30,32.33,31.75,29.66,30.46,31.18,31.49,30.54,31.39,sit rest bare limb,,
31,32.33,31.75,29.65,30.47,31.16,31.48,30.52,31.39,sit rest bare limb,,
32,32.33,31.74,29.65,30.46,31.17,31.46,30.52,31.38,sit rest bare limb,,
33,32.33,31.74,29.65,30.46,31.18,31.46,30.53,31.39,sit rest bare limb,,
34,32.33,31.74,29.65,30.46,31.18,31.46,30.54,31.39,sit rest bare limb,,
35,32.32,31.74,29.65,30.45,31.19,31.45,30.54,31.39,sit rest bare limb,,
36,32.34,31.75,29.66,30.47,31.18,31.47,30.54,31.39,sit rest bare limb,,
37,32.34,31.75,29.65,30.48,31.18,31.46,30.55,31.39,sit rest bare limb,,
38,32.34,31.74,29.64,30.47,31.17,31.46,30.54,31.38,sit rest bare limb,,
39,32.33,31.73,29.63,30.46,31.16,31.45,30.53,31.38,sit rest bare limb,,
40,32.33,31.74,29.63,30.46,31.17,31.47,30.53,31.39,sit rest bare limb,,
41,32.33,31.75,29.63,30.45,31.16,31.46,30.52,31.39,sit rest bare limb,,
42,32.34,31.75,29.64,30.46,31.16,31.46,30.53,31.39,sit rest bare limb,,
43,32.34,31.75,29.64,30.46,31.16,31.45,30.52,31.39,sit rest bare limb,,
44,32.33,31.75,29.63,30.45,31.16,31.44,30.52,31.39,sit rest bare limb,,
45,32.33,31.75,29.64,30.46,31.16,31.46,30.53,31.4,sit rest bare limb,,
46,32.33,31.75,29.65,30.46,31.16,31.46,30.52,31.4,sit rest bare limb,,
47,32.34,31.76,29.65,30.47,31.17,31.46,30.53,31.4,sit rest bare limb,,
48,32.34,31.77,29.65,30.47,31.16,31.47,30.53,31.4,sit rest bare limb,,
49,32.33,31.77,29.65,30.46,31.16,31.46,30.52,31.4,sit rest bare limb,,
50,32.34,31.78,29.65,30.46,31.16,31.46,30.52,31.4,sit rest bare limb,,
51,32.33,31.78,29.64,30.46,31.15,31.46,30.52,31.4,sit rest bare limb,,
52,32.34,31.79,29.64,30.46,31.15,31.46,30.51,31.4,sit rest bare limb,,
53,32.34,31.79,29.64,30.46,31.15,31.46,30.51,31.41,sit rest bare limb,,
54,32.34,31.78,29.64,30.46,31.15,31.46,30.51,31.41,sit rest bare limb,,
55,32.34,31.77,29.64,30.45,31.15,31.45,30.5,31.41,sit rest bare limb,,
56,32.34,31.77,29.63,30.45,31.16,31.45,30.51,31.4,sit rest bare limb,,
57,32.34,31.77,29.64,30.46,31.17,31.45,30.51,31.4,sit rest bare limb,,
58,32.35,31.78,29.65,30.47,31.16,31.45,30.52,31.4,sit rest bare limb,,
59,32.34,31.78,29.66,30.47,31.17,31.46,30.53,31.39,sit rest bare limb,,
60,32.34,31.77,29.66,30.46,31.17,31.47,30.53,31.4,sit rest bare limb,,
61,32.34,31.77,29.66,30.47,31.18,31.47,30.52,31.39,sit rest bare limb,,
62,32.34,31.77,29.67,30.47,31.18,31.47,30.53,31.39,sit rest bare limb,,
63,32.34,31.77,29.68,30.48,31.18,31.47,30.54,31.4,sit rest bare limb,,
64,32.34,31.76,29.67,30.47,31.17,31.46,30.53,31.39,sit rest bare limb,,
65,32.33,31.76,29.67,30.46,31.17,31.46,30.53,31.39,sit rest bare limb,,
66,32.33,31.75,29.67,30.45,31.17,31.46,30.53,31.39,sit rest bare limb,,
67,32.33,31.75,29.66,30.46,31.17,31.45,30.53,31.39,sit rest bare limb,,
68,32.33,31.75,29.66,30.45,31.16,31.45,30.53,31.4,sit rest bare limb,,
69,32.32,31.75,29.66,30.45,31.17,31.45,30.54,31.39,sit rest bare limb,,
70,32.32,31.76,29.65,30.44,31.18,31.45,30.54,31.39,sit rest bare limb,,
71,32.32,31.76,29.66,30.45,31.17,31.45,30.55,31.39,sit rest bare limb,,
72,32.33,31.77,29.65,30.45,31.17,31.44,30.54,31.38,sit rest bare limb,,
73,32.32,31.76,29.66,30.46,31.17,31.45,30.55,31.38,sit rest bare limb,,
74,32.33,31.77,29.66,30.46,31.17,31.45,30.54,31.39,sit rest bare limb,,
75,32.33,31.77,29.65,30.45,31.16,31.45,30.54,31.39,sit rest bare limb,,
76,32.32,31.76,29.64,30.45,31.15,31.45,30.53,31.4,sit rest bare limb,,
77,32.32,31.76,29.64,30.46,31.15,31.45,30.53,31.39,sit rest bare limb,,
78,32.33,31.76,29.64,30.46,31.14,31.46,30.52,31.4,sit rest bare limb,,
79,32.32,31.76,29.63,30.46,31.13,31.46,30.52,31.4,sit rest bare limb,,
80,32.32,31.75,29.64,30.47,31.14,31.46,30.53,31.4,sit rest bare limb,,
81,32.32,31.75,29.64,30.47,31.14,31.46,30.52,31.41,sit rest bare limb,,
82,32.32,31.75,29.64,30.47,31.13,31.45,30.52,31.41,sit rest bare limb,,
