Time,3R Gastroc Muscle,3R Distal Tibia,3R Tibial Tubercle,3R Fibular Head,3L Gastroc Muscle,3L Distal Tibia,3L Tibial Tubercle,3L Fibular Head,Class,Time (min),Activity,,,,
0,32.25,31.88,30.83,30.55,31.69,32.22,30.62,31.19,sit rest bare limb,0-300,sit rest bare limb,,,,
1,32.25,31.88,30.82,30.54,31.69,32.21,30.61,31.18,sit rest bare limb,301-660,don px components ,,,,
2,32.25,31.88,30.81,30.54,31.68,32.21,30.61,31.18,sit rest bare limb,661-1260,sit rest with px simulator donned (1),,,,
3,32.24,31.87,30.81,30.54,31.69,32.21,30.61,31.18,sit rest bare limb,1261-3060,walk on treadmill (1),,,,
4,32.24,31.88,30.81,30.54,31.69,32.21,30.62,31.18,sit rest bare limb,3061-3660,sit rest with px simulator donned (2),,,,
5,32.23,31.88,30.82,30.54,31.69,32.21,30.62,31.19,sit rest bare limb,3661-5460,walk on treadmill (2),,,,
6,32.23,31.89,30.81,30.55,31.7,32.21,30.62,31.18,sit rest bare limb,5461-7260,sit rest with px simulator donned (3),,,,
7,32.22,31.87,30.81,30.55,31.7,32.2,30.61,31.17,sit rest bare limb,7261-7320,doff px components,,,,
8,32.21,31.85,30.79,30.54,31.7,32.19,30.61,31.16,sit rest bare limb,7321-8763,sit rest with px simulator doffed,,,,
9,32.21,31.85,30.79,30.55,31.69,32.19,30.61,31.16,sit rest bare limb,,,,,,
10,32.22,31.85,30.79,30.55,31.69,32.19,30.61,31.15,sit rest bare limb,,,,,,
11,32.2,31.86,30.78,30.56,31.69,32.19,30.62,31.15,sit rest bare limb,,,,,,
12,32.21,31.86,30.79,30.55,31.69,32.19,30.62,31.17,sit rest bare limb,,,,,,
13,32.21,31.86,30.79,30.55,31.69,32.19,30.62,31.17,sit rest bare limb,,,,,,
14,32.21,31.86,30.79,30.55,31.69,32.2,30.62,31.17,sit rest bare limb,,,,,,
15,32.22,31.85,30.79,30.55,31.68,32.21,30.61,31.18,sit rest bare limb,,,,,,
16,32.22,31.85,30.78,30.53,31.67,32.2,30.6,31.18,sit rest bare limb,,,,,,
17,32.22,31.85,30.78,30.54,31.67,32.2,30.6,31.19,sit rest bare limb,,,,,,
18,32.22,31.86,30.78,30.54,31.67,32.2,30.59,31.18,sit rest bare limb,,,,,,
19,32.22,31.85,30.79,30.54,31.67,32.2,30.59,31.18,sit rest bare limb,,,,,,
20,32.23,31.86,30.78,30.54,31.67,32.21,30.6,31.17,sit rest bare limb,,,,,,
21,32.23,31.86,30.77,30.54,31.66,32.2,30.6,31.17,sit rest bare limb,,,,,,
22,32.23,31.85,30.76,30.54,31.66,32.19,30.59,31.17,sit rest bare limb,,,,,,
23,32.21,31.85,30.76,30.53,31.65,32.19,30.59,31.17,sit rest bare limb,,,,,,
24,32.23,31.85,30.76,30.52,31.66,32.19,30.59,31.18,sit rest bare limb,,,,,,
25,32.22,31.84,30.77,30.53,31.66,32.19,30.59,31.18,sit rest bare limb,,,,,,
26,32.23,31.84,30.75,30.54,31.66,32.18,30.59,31.19,sit rest bare limb,,,,,,
27,32.23,31.84,30.76,30.54,31.66,32.18,30.57,31.19,sit rest bare limb,,,,,,
28,32.22,31.85,30.75,30.54,31.67,32.17,30.58,31.19,sit rest bare limb,,,,,,
29,32.22,31.85,30.74,30.54,31.68,32.17,30.57,31.18,sit rest bare limb,,,,,,
30,32.22,31.85,30.73,30.54,31.68,32.17,30.58,31.18,sit rest bare limb,,,,,,
31,32.21,31.85,30.73,30.55,31.67,32.17,30.58,31.18,sit rest bare limb,,,,,,
32,32.21,31.85,30.72,30.55,31.68,32.18,30.59,31.18,sit rest bare limb,,,,,,
33,32.21,31.85,30.73,30.55,31.68,32.18,30.59,31.17,sit rest bare limb,,,,,,
34,32.21,31.85,30.75,30.55,31.68,32.18,30.59,31.19,sit rest bare limb,,,,,,
35,32.22,31.84,30.75,30.54,31.67,32.18,30.58,31.19,sit rest bare limb,,,,,,
36,32.22,31.84,30.75,30.53,31.68,32.17,30.58,31.19,sit rest bare limb,,,,,,
37,32.22,31.84,30.76,30.53,31.67,32.18,30.58,31.19,sit rest bare limb,,,,,,
