Time,3R Gastroc Muscle,3R Distal Tibia,3R Tibial Tubercle,3R Fibular Head,3L Gastroc Muscle,3L Distal Tibia,3L Tibial Tubercle,3L Fibular Head,Class,Time (min),Activity,,,,
0,31.98,31.65,31.39,30.3,31.2,32.54,31.94,31.35,sit rest bare limb,0-300,sit rest bare limb,,,,
1,31.98,31.65,31.4,30.31,31.21,32.54,31.95,31.36,sit rest bare limb,301-445,don px components ,,,,
2,31.98,31.66,31.4,30.31,31.21,32.54,31.95,31.36,sit rest bare limb,446-1045,sit rest with px simulator donned (1),,,,
3,31.98,31.66,31.41,30.31,31.22,32.54,31.96,31.36,sit rest bare limb,1046-2845,walk on treadmill (1),,,,
4,31.99,31.67,31.42,30.31,31.21,32.54,31.96,31.37,sit rest bare limb,2846-3445,sit rest with px simulator donned (2),,,,
5,31.99,31.67,31.42,30.31,31.21,32.54,31.95,31.37,sit rest bare limb,3446-5245,walk on treadmill (2),,,,
6,31.98,31.67,31.41,30.31,31.21,32.53,31.95,31.37,sit rest bare limb,5246-7045,sit rest with px simulator donned (3),,,,
7,31.99,31.67,31.43,30.31,31.21,32.53,31.95,31.38,sit rest bare limb,7046-7106,doff px components,,,,
8,31.99,31.67,31.43,30.31,31.2,32.53,31.95,31.38,sit rest bare limb,7107-8611,sit rest with px simulator doffed,,,,
9,31.99,31.66,31.42,30.3,31.2,32.53,31.95,31.37,sit rest bare limb,,,,,,
10,31.98,31.65,31.41,30.31,31.2,32.53,31.96,31.38,sit rest bare limb,,,,,,
11,31.99,31.65,31.42,30.31,31.21,32.52,31.96,31.38,sit rest bare limb,,,,,,
12,31.99,31.66,31.42,30.32,31.21,32.53,31.96,31.38,sit rest bare limb,,,,,,
13,31.98,31.64,31.41,30.32,31.2,32.52,31.95,31.38,sit rest bare limb,,,,,,
14,31.97,31.64,31.4,30.32,31.2,32.53,31.95,31.39,sit rest bare limb,,,,,,
15,31.97,31.64,31.4,30.33,31.21,32.53,31.95,31.39,sit rest bare limb,,,,,,
16,31.97,31.64,31.4,30.32,31.2,32.53,31.95,31.39,sit rest bare limb,,,,,,
17,31.97,31.64,31.4,30.32,31.2,32.52,31.95,31.39,sit rest bare limb,,,,,,
18,31.97,31.63,31.39,30.32,31.2,32.52,31.94,31.39,sit rest bare limb,,,,,,
19,31.97,31.63,31.38,30.31,31.19,32.51,31.94,31.39,sit rest bare limb,,,,,,
20,31.97,31.62,31.39,30.3,31.19,32.51,31.93,31.39,sit rest bare limb,,,,,,
21,31.97,31.63,31.38,30.3,31.19,32.52,31.93,31.39,sit rest bare limb,,,,,,
22,31.96,31.63,31.38,30.3,31.19,32.51,31.93,31.38,sit rest bare limb,,,,,,
23,31.96,31.63,31.38,30.31,31.19,32.52,31.93,31.38,sit rest bare limb,,,,,,
24,31.96,31.64,31.38,30.31,31.19,32.52,31.94,31.38,sit rest bare limb,,,,,,
25,31.96,31.64,31.38,30.31,31.19,32.52,31.93,31.38,sit rest bare limb,,,,,,
26,31.95,31.63,31.38,30.3,31.18,32.52,31.93,31.38,sit rest bare limb,,,,,,
