rowindex,Session,Subject,SubjectID,Timing,eventType,eventIndex,eventClicked,task,columnIndex,round,stateIndex,clueSeen,question,answer,error,tasktype,maxtask,mintask,tasktypeindex,taskchosen,cluesviewed,miliseconds,seconds,cluemath,cluews,clueboth,clueindex,maxtaskchosen,correct,wrong
1,2,6,135264567,0,task,1,Task1,1,1,1,1,50 percent of previous players thought this task was easier than average,,,,T,1,1,,1,1,6816,6.815999985,1,0,0,24,1,,
2,2,6,135264567,6816,trial,0,99+99+99,,1,1,1,297,99+99+99,297,,9,1,1,1,1,1,6816,6.815999985,0,0,0,,1,1,0
3,2,6,135264567,3147,task,1,Task 1,1,1,2,1,Might need paper & pencil to solve,,,,T,1,1,,1,1,7690,7.690000057,1,0,0,17,1,,
4,2,6,135264567,4543,trial,0,98+98+98,,1,2,1,294,98+98+98,294,,9,1,1,1,1,1,7690,7.690000057,0,0,0,,1,1,0
5,2,6,135264567,5941,task,1,Task 1,1,1,3,2,jumbled,,,,T,1,1,,0,1,9277,9.277000427,0,1,0,2,0,,
6,2,6,135264567,3336,trial,0,ULFO,,1,3,2,FOUL,ULFO,FOUL,,U,1,1,0,0,1,9277,9.277000427,0,0,0,,0,1,0
7,2,6,135264567,982,task,1,Task 2,2,1,4,2,multiple choice,,,,T,2,2,,0,1,6881,6.881000042,0,1,0,5,0,,
8,2,6,135264567,5899,trial,0,RTFO,,1,4,2,FORT,RTFO,FORT,,R,2,2,0,0,1,6881,6.881000042,0,0,0,,0,1,0
9,2,6,135264567,1862,task,1,Task 3,3,1,5,1,50 percent of previous players thought this task was more difficult than average,,,,T,3,3,,1,1,9716,9.715999603,1,0,0,23,1,,
10,2,6,135264567,7854,trial,0,97+97+97,,1,5,1,291,97+97+97,291,,9,3,3,1,1,1,9716,9.715999603,0,0,0,,1,1,0
11,2,6,135264567,972,task,1,Task 3,3,1,6,1,Numerical,,,,T,3,3,,1,1,6505,6.505000114,1,0,0,13,1,,
12,2,6,135264567,5533,trial,0,96+96+96,,1,6,1,288,96+96+96,288,,9,3,3,1,1,1,6505,6.505000114,0,0,0,,1,1,0
13,2,6,135264567,4252,task,1,Task 4,4,1,7,2,50 percent of previous players chose this task,,,,T,4,4,,0,1,9228,9.227999687,0,0,1,11,0,,
